Time,day 1,day 2,day 3,day 4,day 5,day 6,day 7
Morning Tutor,Tutor Group 12AAW2,Tutor Group 12AAW2,Tutor Group 12AAW2,Tutor Group 12AAW2,Tutor Group 12AAW2,Tutor Group 12AAW2,Tutor Group 12AAW2
,12AAW2,12AAW2,12AAW2,12AAW2,12AAW2,12AAW2,12AAW2
,JP11,JP11,JP11,JP11,JP11,JP11,JP11
period 1,,,12 IB Computer Science,13 Computer Science,11 Computer Science,,12 Computer Science
,,,12IBCOM3,13COM4,11COM5,,12COM7
,,,JP11,JP11,JP11,,JP11
period 2,,10 Digital Technology,12 IB Computer Science,13 Computer Science,11 Computer Science,,12 Computer Science
,,10DTG2,12IBCOM3,13COM4,11COM5,,12COM7
,,JP11,JP11,JP11,JP11,,JP11
period 3,,12 Computer Science,13 Computer Science,10 Digital Technology,12 IB Computer Science,13 Computer Science,11 Computer Science
,,12COM7,13COM4,10DTG2,12IBCOM3,13COM4,11COM5
,,JP11,JPCOM,JP11,JP11,JP11,JP11
period 4,11 Computer Science,,12 Computer Science,,10 Digital Technology,12 IB Computer Science,13 Computer Science
,11COM5,,12COM7,,10DTG2,12IBCOM3,13COM4
,JP11,,JP11,,JP11,JP11,JP11
period 5,13 Computer Science,11 Computer Science,,12 Computer Science,,10 Digital Technology,12 IB Computer Science
,13COM4,11COM5,,12COM7,,10DTG2,12IBCOM3
,JP11,JP11,,JP11,,JP11,JP11
Period 6,12 IB Computer Science,13 Computer Science,11 Computer Science,,12 Computer Science,,
,12IBCOM3,13COM4,11COM5,,12COM7,,
,JP11,JP11,JP11,,JP11,,
